index,Vina,Drug,SMILES
939,-7.8,INARIGIVIR,COC1C(C(OC1N2C=CC(=O)NC2=O)CO)OP(=S)(O)OCC3C(CC(O3)N4C=NC5=C(N=CN=C54)N)O
940,-7.8,INDINAVIR,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
941,-7.8,INTOPLICINE,CC1=CN=C(C2=C1NC3=C2C4=C(C=C3)C=C(C=C4)O)NCCCN(C)C
942,-7.8,IPSAPIRONE,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=NC=CC=N4
943,-7.8,ISOQUERCETIN,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
944,-7.8,ISOXAFLUTOLE,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
945,-7.8,ITX-5061,CC(C)(C)C1=CC(=C(C(=C1)NS(=O)(=O)C)OC)NC(=O)C(=O)C2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4.Cl
946,-7.8,JI-101,COC1=C(C=C(C=C1)Br)NC(=O)NC2=C3C=CN(C3=CC=C2)CC4=CC(=NC=C4)N
947,-7.8,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O
948,-7.8,LETAXABAN,C1CNC(=O)N(C1)C2CCN(CC2)C(=O)C(CS(=O)(=O)C3=CC4=C(C=C3)C=C(C=C4)Cl)O
958,-7.8,MONTELUKAST,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O
959,-7.8,NESAPIDIL,CC1=NN=C(O1)C2=CC(=CC=C2)OCC(CN3CCN(CC3)C4=CC=CC=C4OC)O
960,-7.8,NICOFURANOSE,C1=CC(=CN=C1)C(=O)OCC2C(C(C(O2)(COC(=O)C3=CN=CC=C3)O)OC(=O)C4=CN=CC=C4)OC(=O)C5=CN=CC=C5
961,-7.8,NOP-1A,CNC(=O)C(CC1=CC=CC=C1F)CN2CCC3(CC2)C4=C(CCO3)C=C(S4)F
962,-7.8,OBICETRAPIB,CCC1CC(C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=NC=C(C=N4)OCCCC(=O)O
963,-7.8,OCHROMYCINONE,CC1CC2=C(C(=O)C1)C3=C(C=C2)C(=O)C4=C(C3=O)C=CC=C4O
964,-7.8,OMTRIPTOLIDE,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2OC(=O)CCC(=O)O)O7)COC6=O)C
965,-7.8,ONTAZOLAST,CC1=CC2=C(C=C1)OC(=N2)NC(CC3CCCCC3)C4=CC=CC=N4
966,-7.8,OXYPHENISATIN ACETATE,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C
967,-7.8,PALIPERIDONE,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
968,-7.8,PANADIPLON,CC(C)N1C2=CC=CC=C2N3C=NC(=C3C1=O)C4=NOC(=N4)C5CC5
969,-7.8,PERBUFYLLINE,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F
970,-7.8,PERFLUNAFENE,C12(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F
971,-7.8,PEROSPIRONE,C1CCC2C(C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54
972,-7.8,PF-00217830,C1CC(=O)NC2=C1C=CC(=N2)OCCCCN3CCN(CC3)C4=CC=CC5=CC=CC=C54
973,-7.8,PINOXEPIN,C1CN(CCN1CCC=C2C3=CC=CC=C3COC4=C2C=C(C=C4)Cl)CCO
974,-7.8,PIRAGLIATIN,CS(=O)(=O)C1=C(C=C(C=C1)C(CC2CCC(=O)C2)C(=O)NC3=NC=CN=C3)Cl
975,-7.8,PIROXICAM CINNAMATE,CN1C(=C(C2=CC=CC=C2S1(=O)=O)OC(=O)C=CC3=CC=CC=C3)C(=O)NC4=CC=CC=N4
976,-7.8,REPINOTAN,C1CC2=CC=CC=C2OC1CNCCCCN3C(=O)C4=CC=CC=C4S3(=O)=O
977,-7.8,RETAGLIPTIN,COC(=O)C1=C2CN(CCN2C(=N1)C(F)(F)F)C(=O)CC(CC3=CC(=C(C=C3F)F)F)N
978,-7.8,RIPISARTAN,CCCC1=C(C2=NC(=O)NN2C(=N1)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
979,-7.8,RISDIPLAM,CC1=CC(=NN2C1=NC(=C2)C)C3=CC(=O)N4C=C(C=CC4=N3)N5CCNC6(C5)CC6
980,-7.8,RUXOLITINIB,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
981,-7.8,SAPITINIB,CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
982,-7.8,SARAKALIM,CC(=O)N(CC1=C(C2=C(C=CC(=C2)C(F)(F)F)OC1(C)C)N3C=CC=CC3=O)O
983,-7.8,SAREDUTANT,CC(=O)NC1(CCN(CC1)CCC(CN(C)C(=O)C2=CC=CC=C2)C3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C4
984,-7.8,SEPERIDOL,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F
985,-7.8,SERAZAPINE,CN1CCN2C(C1)C3=C(C4=CC=CC=C4N3CC5=CC=CC=C52)C(=O)OC
986,-7.8,SERTINDOLE,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O
987,-7.8,SEVITERONEL,CC(C)C(C1=CC2=CC(=C(C=C2C=C1)OC(F)F)OC(F)F)(C3=NNN=C3)O
988,-7.8,SILICRISTIN,COC1=C(C=CC(=C1)C2C(C3=C(O2)C(=CC(=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O
989,-7.8,SIMOTINIB,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCN4CC5(CC5)C6(C4)OCCO6
990,-7.8,SONEDENOSON,C1=CC(=CC=C1CCOC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N)Cl
991,-7.8,SPICLOMAZINE,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl
992,-7.8,SPIRORENONE,CC12CCC3C(C1C4CC4C25CCC(=O)O5)C6CC6C7=CC(=O)C=CC37C
993,-7.8,SPIROXATRINE,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4
994,-7.8,SULAZURIL,CN1CC(=O)NC(=O)N1C2=CC(=C(C(=C2)Cl)OC3=CC=C(C=C3)S(=O)(=O)C)Cl
995,-7.8,TAK-285,CC(C)(CC(=O)NCCN1C=CC2=C1C(=NC=N2)NC3=CC(=C(C=C3)OC4=CC=CC(=C4)C(F)(F)F)Cl)O
996,-7.8,TALAZOPARIB,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F
997,-7.8,TALTIRELIN,CN1C(=O)CC(NC1=O)C(=O)NC(CC2=CN=CN2)C(=O)N3CCCC3C(=O)N
998,-7.8,TANSHINONE IIA SULFONATE,CC1=C(OC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C)S(=O)(=O)[O-]
999,-7.8,TECASTEMIZOLE,C1CNCCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F
1000,-7.8,TEFLUDAZINE,C1CN(CCN1CCO)C2CC(C3=C2C=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)F
1001,-7.8,TEFLUTIXOL,C1CN(CCN1CCCC2C3=C(C=C(C=C3)F)SC4=C2C=C(C=C4)C(F)(F)F)CCO
1002,-7.8,TELCAGEPANT,C1CC(C(=O)N(CC1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5
1003,-7.8,TEMAROTENE,CC(=CC1=CC=CC=C1)C2=CC3=C(C=C2)C(CCC3(C)C)(C)C
1004,-7.8,TENELIGLIPTIN,CC1=NN(C(=C1)N2CCN(CC2)C3CC(NC3)C(=O)N4CCSC4)C5=CC=CC=C5
1005,-7.8,TESTOSTERONE CYPIONATE,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=CC(=O)CCC35C
1006,-7.8,TIMIPERONE,C1CN(CCC1N2C3=CC=CC=C3NC2=S)CCCC(=O)C4=CC=C(C=C4)F
1007,-7.8,TOSEDOSTAT,CC(C)CC(C(C(=O)NO)O)C(=O)NC(C1=CC=CC=C1)C(=O)OC2CCCC2
1008,-7.8,TOSUFLOXACIN,C1CN(CC1N)C2=C(C=C3C(=O)C(=CN(C3=N2)C4=C(C=C(C=C4)F)F)C(=O)O)F
1009,-7.8,TRICLONIDE,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CCl)C)Cl)Cl)C)F)C
1010,-7.8,TROPATEPINE,CN1C2CCC1CC(=C3C4=CC=CC=C4CSC5=CC=CC=C53)C2
1011,-7.8,TROSPIUM,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O
1012,-7.8,ULIMORELIN,CC1CNC(C(=O)N(C(C(=O)NC(C(=O)NCCCC2=CC=CC=C2O1)CC3=CC=C(C=C3)F)C)C)C4CC4
1013,-7.8,USL-311,CC(C)N1CCC(CC1)N2CCCN(CC2)C3=CC=CC(=N3)C(=O)NC4=CC=NC=C4
1014,-7.8,VANOXERINE,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
1015,-7.8,VANYLDISULFAMIDE,COC1=C(C=CC(=C1)C(NC2=CC=C(C=C2)S(=O)(=O)N)NC3=CC=C(C=C3)S(=O)(=O)N)O
1016,-7.8,VAPIPROST,C1CCN(CC1)C2C(CC(C2CCC=CCCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O
1017,-7.8,VATINOXAN,CS(=O)(=O)NCCN1C(=O)NCC12CCN3CCC4=C(C3C2)OC5=CC=CC=C45
1018,-7.8,VICRIVIROC,CC1CN(CCN1C(COC)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C
1019,-7.8,VINBURNINE,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2
1020,-7.8,XIMELAGATRAN,CCOC(=O)CNC(C1CCCCC1)C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=NO)N
1021,-7.7,9-AMINOCAMPTOTHECIN,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O
1022,-7.7,ABANOQUIL,COC1=C(C=C2CN(CCC2=C1)C3=NC4=CC(=C(C=C4C(=C3)N)OC)OC)OC
1023,-7.7,AC-430,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C(C4=CC=C(C=C4)F)O.Br
1024,-7.7,ACRIDOREX,CC(CC1=CC=CC=C1)NCCC2=C3C=CC=CC3=NC4=CC=CC=C42
1025,-7.7,ACTODIGIN,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=CCOC5=O)O)C)OC6C(C(C(C(O6)CO)O)O)O
1026,-7.7,ALOIN,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO
1029,-7.7,AMSACRINE,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
1030,-7.7,ANCRIVIROC,CCON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=C[N+](=C3C)[O-])C)C)C4=CC=C(C=C4)Br
1031,-7.7,AS-602868,CC1=CC(=O)N(C1=O)NC2=NC(=NC3=C2C(=CC=C3)OC)C4=CC=CS4
1032,-7.7,ASPOXICILLIN,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)NC(=O)C(CC(=O)NC)N)C(=O)O)C
1033,-7.7,ATALUREN,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F
1034,-7.7,ATOPAXAR,CCOC1=C(C(=C2C(=C1)CN(C2=N)CC(=O)C3=CC(=C(C(=C3)N4CCOCC4)OC)C(C)(C)C)F)OCC
1035,-7.7,AZD-6703,CC1=C(C=C(C=C1)C(=O)NC2CC2)N3C=NC4=C(C3=O)C=C(C=C4)N5CCN(CC5)C
1036,-7.7,AZELNIDIPINE,CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C
1037,-7.7,AZILSARTAN,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O
1038,-7.7,AZIPRAMINE,CN(CCC1=CC2=C3N1C4=CC=CC=C4CCC3=CC=C2)CC5=CC=CC=C5
1039,-7.7,BALAGLITAZONE,CN1C(=NC2=CC=CC=C2C1=O)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4
1040,-7.7,BEDAQUILINE,CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O
1041,-7.7,BENZOTRIPT,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl
1042,-7.7,BENZO[DEF]CHRYSENE,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
1043,-7.7,BINIZOLAST,CCCN1C(=O)C2=CC=CC=C2N3C1=NN=C3CN4CCCCC4
1044,-7.7,BIRABRESIB,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C
1045,-7.7,BISOBRIN,COC1=C(C=C2C(NCCC2=C1)CCCCC3C4=CC(=C(C=C4CCN3)OC)OC)OC
1046,-7.7,BITOPERTIN,CC(C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F
1047,-7.7,BLONANSERIN,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F
1048,-7.7,BMS-223131,C1=CC2=C(C=C1C(F)(F)F)C(=C(C(=O)N2)CCO)C3=C(C=CC(=C3)Cl)O
1049,-7.7,BMS-690514,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CCC(C(C4)O)N
1050,-7.7,BMS-962212,CN1CCN(C(=O)C1)C2=CC=CC3=C2CCN(C3C(=O)NC4=CC=C(C=C4)C(=O)O)C(=O)C=CC5=C(C=CC(=C5F)Cl)N6C=NN=N6
1051,-7.7,BRANAPLAM,CC1(CC(CC(N1)(C)C)OC2=NN=C(C=C2)C3=C(C=C(C=C3)C4=CNN=C4)O)C
1052,-7.7,BREXPIPRAZOLE,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4
1053,-7.7,CADAZOLID,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCC(CC4)(COC5=C(C=C(C=C5)N6CC(OC6=O)CO)F)O)F)C(=O)O
1054,-7.7,CAMICINAL,CC1CN(CCN1)CC2=CC=C(C=C2)CC(=O)N3CCC(CC3)NC4=CC(=CC=C4)F
1055,-7.7,CANDOXATRIL,COCCOCC(CC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)O)C(=O)OC3=CC4=C(CCC4)C=C3
1056,-7.7,CARPROFEN,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
1057,-7.7,CEFMATILEN,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)C(=O)O)SCSC4=NNN=C4
1058,-7.7,CEFTOBIPROLE MEDOCARIL,CC1=C(OC(=O)O1)COC(=O)N2CCC(C2)N3CCC(=CC4=C(N5C(C(C5=O)NC(=O)C(=NO)C6=NSC(=N6)N)SC4)C(=O)O)C3=O
1059,-7.7,CELECOXIB,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
1060,-7.7,CETEFLOXACIN,CC1C(CN1C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F)N
1061,-7.7,CILTOPRAZINE,CC1=CC(=CC=C1)N2CCN(CC2)CCCNC(=O)NC(=O)C3=C(C=CC(=C3)Cl)OC
1062,-7.7,CIPROFLOXACIN,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
1063,-7.7,CITARINOSTAT,C1=CC=C(C=C1)N(C2=CC=CC=C2Cl)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO
1064,-7.7,CLIMAZOLAM,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl
1065,-7.7,CLOCINIZINE,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
1066,-7.7,DANITRACEN,CN1CCC(=C2C3=CC=CC=C3C(C4=CC=CC=C42)O)CC1
1067,-7.7,DAPAGLIFLOZIN,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl
1068,-7.7,DAPIPRAZOLE,CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4
1069,-7.7,Daporinad,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3
1070,-7.7,DASANTAFIL,CCN1C(=O)C2=C(N=C(N2CC3=CC(=C(C=C3)OC)Br)NC4CCCC4O)N(C1=O)CCO
1071,-7.7,DERAZANTINIB,COCCNCCC1=CC(=CC=C1)NC2=NC=C3CC(C4=CC=CC=C4C3=N2)C5=CC=CC=C5F
1072,-7.7,DIATHYMOSULFONE,CC1=CC(=C(C=C1N=NC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)N=NC4=CC(=C(C=C4C)O)C(C)C)C(C)C)O
1073,-7.7,DIPERODON,C1CCN(CC1)CC(COC(=O)NC2=CC=CC=C2)OC(=O)NC3=CC=CC=C3
1074,-7.7,DNK333,CN(C(CC1=CC(=C(C=C1)Cl)Cl)C=CC(=O)NC2CCCCNC2=O)C(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
1075,-7.7,DOXAMINOL,CN(CCC1C2=CC=CC=C2COC3=CC=CC=C13)CC(COC4=CC=CC=C4)O
1076,-7.7,DU 125530,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=C5C(=CC(=C4)Cl)OCCO5
1077,-7.7,E-7820,CC1=C2C(=CNC2=C(C=C1)NS(=O)(=O)C3=CC=CC(=C3)C#N)C#N
1078,-7.7,ECENOFLOXACIN,CC12CC(C1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5CC5)C(=O)O)F)N
1079,-7.7,EFATUTAZONE,CC1=CC(=CC(=C1N)C)OC2=CC3=C(C=C2)N=C(N3C)COC4=CC=C(C=C4)CC5C(=O)NC(=O)S5
1080,-7.7,EFIPLADIB,C1=CC=C(C=C1)C(C2=CC=CC=C2)N3C4=C(C=C(C=C4)Cl)C(=C3CCNS(=O)(=O)CC5=CC(=C(C=C5)Cl)Cl)CCCC6=CC=C(C=C6)C(=O)O
1081,-7.7,EMRICASAN,CC(C(=O)NC(CC(=O)O)C(=O)COC1=C(C(=CC(=C1F)F)F)F)NC(=O)C(=O)NC2=CC=CC=C2C(C)(C)C
1082,-7.7,ENCAINIDE,CN1CCCCC1CCC2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC
1083,-7.7,ENGLITAZONE,C1CC2=C(C=CC(=C2)CC3C(=O)NC(=O)S3)OC1CC4=CC=CC=C4
1084,-7.7,ERTUGLIFLOZIN,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C34C(C(C(C(O3)(CO4)CO)O)O)O)Cl
1085,-7.7,ESTRADIOL BENZOATE,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)C5=CC=CC=C5
1087,-7.7,ETC-159,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NN=C(C=C3)C4=CC=CC=C4
1088,-7.7,ETHYL CARFLUZEPATE,CCOC(=O)C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)C(=O)NC
1089,-7.7,ETIZOLAM,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C
1090,-7.7,ETOMIDOLINE,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4
1091,-7.7,Evobrutinib,C=CC(=O)N1CCC(CC1)CNC2=NC=NC(=C2C3=CC=C(C=C3)OC4=CC=CC=C4)N
1092,-7.7,FELOPRENTAN,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCCC4=CC(=C(C=C4)OC)OC)C
1093,-7.7,FENTIAZAC,C1=CC=C(C=C1)C2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
1094,-7.7,FLUCIPRAZINE,C#CC1(CCCCC1)OCC(CN2CCN(CC2)C3=CC=C(C=C3)F)O
1095,-7.7,FLUCLOROLONE,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CC(C4=CC(=O)C=CC43C)F)Cl)Cl
1096,-7.7,FLUCLORONIDE,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)Cl)Cl)C)F)C
1097,-7.7,FLUNARIZINE,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
1098,-7.7,FLUPEROLONE ACETATE,CC(C(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)O)OC(=O)C
1099,-7.7,FLURALANER,CC1=C(C=CC(=C1)C2=NOC(C2)(C3=CC(=CC(=C3)Cl)Cl)C(F)(F)F)C(=O)NCC(=O)NCC(F)(F)F
1100,-7.7,FLURANTEL,CC(=O)OC1=C(C(=C(C=C1)[N+](=O)[O-])OC(=O)C)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F
1101,-7.7,GCC-4401C,CS(=O)(=O)O.C1CN(NC=N1)C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
1102,-7.7,GLAZIOVINE,CN1CCC2=CC(=C(C3=C2C1CC34C=CC(=O)C=C4)O)OC
1103,-7.7,GLPG-0187,CC1=C(N=C(N=C1N2CCC(CC2)C3=NC4=C(CCCN4)C=C3)C)NCC(C(=O)O)NS(=O)(=O)C5=CC=C(C=C5)OC
1104,-7.7,GLUNICATE,C1=CC(=CN=C1)C(=O)NC2C(C(C(OC2OC(=O)C3=CN=CC=C3)COC(=O)C4=CN=CC=C4)OC(=O)C5=CN=CC=C5)OC(=O)C6=CN=CC=C6
1105,-7.7,GSK-1059615,C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4
1106,-7.7,GW-328267,CCN1N=C(N=N1)C2C(C(C(O2)N3C=NC4=C(N=C(N=C43)NC(CC5=CC=CC=C5)CO)N)O)O
1107,-7.7,HALOCORTOLONE,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)F)Cl)C)F
1108,-7.7,ICOSPIRAMIDE,C1CC(CCC1N2CCC3(CC2)C(=O)N(CN3C4=CC=C(C=C4)F)CC(=O)N)(C#N)C5=CC=C(C=C5)F
1109,-7.7,INOGATRAN,C1CCC(CC1)CC(C(=O)N2CCCCC2C(=O)NCCCN=C(N)N)NCC(=O)O
1110,-7.7,INTEPIRDINE,C1CN(CCN1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC=C4
1111,-7.7,INTRAZOLE,C1=CC=C2C(=C1)C(=CN2C(=O)C3=CC=C(C=C3)Cl)CC4=NNN=N4
1112,-7.7,ISOCROMIL,CC(C)OC1=CC=CC=C1C2=CC(=O)C3=C(O2)C=CC(=C3)C(=O)O
1113,-7.7,ITROCINONIDE,CCCC1OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)OC(C)OC(=O)OCC)C)O)F)C)F
1114,-7.7,IZONSTERIDE,CCC1=C2C(=CC=C1)SC(=N2)SC3=CC4=C(C=C3)C5(CCC(=O)N(C5CC4)C)C
1115,-7.7,KETAZOLAM,CC1=CC(=O)N2CC(=O)N(C3=C(C2(O1)C4=CC=CC=C4)C=C(C=C3)Cl)C
1116,-7.7,KX2-361,C1COCCN1C2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC(=CC=C4)F
1117,-7.7,LANDIPIRDINE,C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)N
1118,-7.7,LANOPEPDEN,CC1=NC(=C(C(=N1)N2CCN3CCOCC3C2)F)NNC(=O)C(CC4CCCC4)CN(C=O)O
1119,-7.7,LAPRAFYLLINE,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5
1120,-7.7,LENIOLISIB,CCC(=O)N1CCC(C1)NC2=NC=NC3=C2CN(CC3)C4=CC(=C(N=C4)OC)C(F)(F)F
1121,-7.7,LETEPRINIM,C1=CC(=CC=C1C(=O)O)NC(=O)CCN2C=NC3=C2N=CNC3=O
1122,-7.7,LETERMOVIR,COC1=C(C=C(C=C1)C(F)(F)F)N2C(C3=C(C(=CC=C3)F)N=C2N4CCN(CC4)C5=CC(=CC=C5)OC)CC(=O)O
1123,-7.7,LEVOFLOXACIN,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
1124,-7.7,LEXIBULIN,CCCC(C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC
1125,-7.7,LINAROTENE,CC(=NNC1=CC=C(C=C1)S(=O)(=O)C)C2=CC3=C(C=C2)C(CCC3(C)C)(C)C
1126,-7.7,LINTITRIPT,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl
1127,-7.7,LIRIMILAST,CS(=O)(=O)OC1=CC2=C(C=C1)C(=C(O2)C(=O)C3=C(C=C(C=C3)Cl)Cl)NC(=O)N
1128,-7.7,LUMATEPERONE,CN1CCN2C3CCN(CC3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F
